ID Messaggio,Nome Salone,Cellulare,Rating,Data Invio,Risposta,Data Risposta,Tipo Risposta,Note,,Campagna,Strategia
FIX001,TRISCELE Beauty,+393275464407,4.8,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX002,Esthena Nails e Benessere,+393335469382,4.7,2026-06-08 16:25,"No grazie per il momento non mi interessa
",,,,[''],Iniziale,Media (185 caratteri)
FIX003,Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX004,Il Sogno di ogni donna | Centro estetico Catania,+393714480449,4.6,2026-06-08 16:25,"Grazie per aver contattato Il Sogno Di Ogni Donna! Facci sapere come possiamo aiutarti.
Grazie del tuo messaggio al momento non siamo disponibili.
Le risponderemo appena possibile.",,,,[''],Iniziale,Media (185 caratteri)
FIX005,Glamour Sole e Bellezza,+393471079312,4.1,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX006,Bioperla - Centro Estetico a Catania,+393395929992,5,2026-06-08 16:25,"Grazie per aver contattato Bioperla! 
Ti risponderemo prima possibile 🧖🏻‍♀️",2026-06-08 16:25,,,[''],Iniziale,Media (185 caratteri)
FIX007,Elite Estetica,+393427675185,4.8,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX008,Om Estetica,+393928407565,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX009,LM Beauty nails,+393713360782,4.4,2026-06-08 16:25,"👋 Grazie per avermi contattata        
Per prenotazioni e informazioni, inviami un messaggio indicando il trattamento desiderato.
📅 Disponibile dal martedì al sabato.
Ti risponderò il prima possibile. 💕",,,,[''],Iniziale,Media (185 caratteri)
FIX010,MIDA nail care,+393290646988,4.9,2026-06-08 16:25,"Ciao.
Grazie per il tuo messaggio!
Gli uffici sono attivi da lunedì a venerdì, dalle 9:00 alle 18:00.
Risponderemo quanto prima alle tue necessità  ❤️",,,,[''],Iniziale,Media (185 caratteri)
FIX011,WOW BEAUTY BAR: Centro estetico & Academia di Tanya & Olga Sindeeva,+393355405415,4.9,2026-06-08 16:25,"✨ NOVITÀ ✨
Cellulite, gonfiore e difficoltà a perdere peso spesso hanno cause più profonde.
Scopri il nuovo metodo che unisce benessere metabolico, nutrizione funzionale e piani nutrizionali personalizzati con l’alimentazione mediterranea per favorire il dimagrimento e risultati concreti e misurabili.
Contattaci per saperne di più. 💚",,,,[''],Iniziale,Media (185 caratteri)
FIX012,Nail Salon di Ylenia Torrisi,+393932779198,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX013,GV Place - Rinascente,+393312942906,4.5,2026-06-08 16:25,Grazie per aver contattato Giovanni Ventura La Rinascente! Facci sapere come possiamo aiutarti.,,,,[''],Iniziale,Media (185 caratteri)
FIX014,Onico N𝒂𝒊𝒍𝒔 beauty Lab,+393791601727,4.4,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX015,VyBi Nails Catania di Viviana Barbagallo,+393270325417,4.6,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX016,Blossom beauty & spa,+393477494303,4.6,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX017,Coquette Wellness & Beauty - Catania,+393899923613,4.8,2026-06-08 16:25,"Benvenuta nel nostro canale di bellezza, come possiamo aiutarti?",,,,[''],Iniziale,Media (185 caratteri)
FIX018,Centro Valclè Beauty & Pilates,+393477090169,4.9,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX019,Just Beauty,+393445480767,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
